group,category,service,zip_path
IoT,,AWS IoT,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_LoRaWAN-Protocol_48.svg
IoT,,AWS IoT Greengrass,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Greengrass_Component_48.svg
IoT,,AWS IoT Device Defender,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Device-Defender_IoT-Device-Jobs_48.svg
IoT,,AWS IoT Device Management,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Device-Management_Fleet-Hub_48.svg
IoT,,AWS IoT SiteWise,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-SiteWise_Asset-Hierarchy_48.png
IoT,,AWS IoT Analytics,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Analytics_Channel_48.svg
IoT,,AWS IoT Hardware Board,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Hardware-Board_48.png
IoT,,AWS IoT Core,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Core_Device-Location_48.png
IoT,,AWS IoT Device Tester,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Device-Tester_48.png
IoT,,AWS IoT Rule,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Rule_48.png
Quantum Technologies,,Amazon Braket,Resource-Icons_02072025/Res_Quantum-Technologies/Res_Amazon-Braket_Simulator-3_48.png
Analytics,,Amazon OpenSearch Service,Resource-Icons_02072025/Res_Analytics/Res_Amazon-OpenSearch-Service_Observability_48.svg
Analytics,,Amazon Redshift,Resource-Icons_02072025/Res_Analytics/Res_Amazon-Redshift_RA3_48.svg
Analytics,,AWS Lake Formation,Resource-Icons_02072025/Res_Analytics/Res_AWS-Lake-Formation_Data-Lake_48.png
Analytics,,Amazon EMR,Resource-Icons_02072025/Res_Analytics/Res_Amazon-EMR_EMR-Engine_48.svg
Analytics,,Amazon Quicksight,Resource-Icons_02072025/Res_Analytics/Res_Amazon-Quicksight_Paginated-Reports_48.png
Analytics,,AWS Glue,Resource-Icons_02072025/Res_Analytics/Res_AWS-Glue_Data-Quality_48.png
Analytics,,Amazon MSK,Resource-Icons_02072025/Res_Analytics/Res_Amazon-MSK_Amazon-MSK-Connect_48.svg
Analytics,,Amazon DataZone,Resource-Icons_02072025/Res_Analytics/Res_Amazon-DataZone_Data-Portal_48.svg
Analytics,,Amazon CloudSearch,Resource-Icons_02072025/Res_Analytics/Res_Amazon-CloudSearch_Search-Documents_48.svg
Analytics,,AWS Data Exchange for APIs,Resource-Icons_02072025/Res_Analytics/Res_AWS-Data-Exchange-for-APIs_48.png
Analytics,,Amazon Athena,Resource-Icons_02072025/Res_Analytics/Res_Amazon-Athena_Data-Source-Connectors_48.svg
End User Computing,,Amazon WorkSpaces Family,Resource-Icons_02072025/Res_End-User-Computing/Res_Amazon-WorkSpaces-Family_Amazon-WorkSpaces-Secure-Browser_48.svg
"Security, Identity, & Compliance",,AWS Identity Access Management,Resource-Icons_02072025/Res_Security-Identity-Compliance/Res_AWS-Identity-Access-Management_AWS-STS-Alternate_48.png
"Security, Identity, & Compliance",,AWS Certificate Manager,Resource-Icons_02072025/Res_Security-Identity-Compliance/Res_AWS-Certificate-Manager_Certificate-Authority_48.png
"Security, Identity, & Compliance",,AWS Directory Service,Resource-Icons_02072025/Res_Security-Identity-Compliance/Res_AWS-Directory-Service_Simple-AD_48.svg
"Security, Identity, & Compliance",,AWS WAF,Resource-Icons_02072025/Res_Security-Identity-Compliance/Res_AWS-WAF_Labels_48.png
"Security, Identity, & Compliance",,Amazon Inspector,Resource-Icons_02072025/Res_Security-Identity-Compliance/Res_Amazon-Inspector_Agent_48.svg
"Security, Identity, & Compliance",,AWS Key Management Service,Resource-Icons_02072025/Res_Security-Identity-Compliance/Res_AWS-Key-Management-Service_External-Key-Store_48.png
"Security, Identity, & Compliance",,AWS Security Hub,Resource-Icons_02072025/Res_Security-Identity-Compliance/Res_AWS-Security-Hub_Finding_48.svg
"Security, Identity, & Compliance",,AWS Network Firewall,Resource-Icons_02072025/Res_Security-Identity-Compliance/Res_AWS-Network-Firewall_Endpoints_48.png
"Security, Identity, & Compliance",,AWS Shield,Resource-Icons_02072025/Res_Security-Identity-Compliance/Res_AWS-Shield_AWS-Shield-Advanced_48.png
Blockchain,,Amazon Managed Blockchain,Resource-Icons_02072025/Res_Blockchain/Res_Amazon-Managed-Blockchain_Blockchain_48.png
Application Integration,,Amazon EventBridge Event,Resource-Icons_02072025/Res_Application-Integration/Res_Amazon-EventBridge-Event_48.png
Application Integration,,Amazon Simple Notification Service,Resource-Icons_02072025/Res_Application-Integration/Res_Amazon-Simple-Notification-Service_Email-Notification_48.png
Application Integration,,Amazon EventBridge,Resource-Icons_02072025/Res_Application-Integration/Res_Amazon-EventBridge_Default-Event-Bus_48.png
Application Integration,,Amazon MQ,Resource-Icons_02072025/Res_Application-Integration/Res_Amazon-MQ_Broker_48.png
Application Integration,,Amazon Simple Queue Service,Resource-Icons_02072025/Res_Application-Integration/Res_Amazon-Simple-Queue-Service_Queue_48.svg
Management & Governance,,AWS Systems Manager,Resource-Icons_02072025/Res_Management-Governance/Res_AWS-Systems-Manager_Patch-Manager_48.svg
Management & Governance,,AWS CloudFormation,Resource-Icons_02072025/Res_Management-Governance/Res_AWS-CloudFormation_Stack_48.png
Management & Governance,,Amazon CloudWatch,Resource-Icons_02072025/Res_Management-Governance/Res_Amazon-CloudWatch_Synthetics_48.png
Management & Governance,,AWS Organizations,Resource-Icons_02072025/Res_Management-Governance/Res_AWS-Organizations_Management-Account_48.png
Management & Governance,,AWS License Manager,Resource-Icons_02072025/Res_Management-Governance/Res_AWS-License-Manager_License-Blending_48.png
Management & Governance,,AWS Trusted Advisor,Resource-Icons_02072025/Res_Management-Governance/Res_AWS-Trusted-Advisor_Checklist-Performance_48.png
Management & Governance,,AWS CloudTrail,Resource-Icons_02072025/Res_Management-Governance/Res_AWS-CloudTrail_CloudTrail-Lake_48.png
Networking & Content Delivery,,Amazon VPC,Resource-Icons_02072025/Res_Networking-Content-Delivery/Res_Amazon-VPC_Flow-Logs_48.png
Networking & Content Delivery,,AWS App Mesh,Resource-Icons_02072025/Res_Networking-Content-Delivery/Res_AWS-App-Mesh_Virtual-Service_48.png
Networking & Content Delivery,,Elastic Load Balancing,Resource-Icons_02072025/Res_Networking-Content-Delivery/Res_Elastic-Load-Balancing_Classic-Load-Balancer_48.png
Networking & Content Delivery,,Amazon Route 53,Resource-Icons_02072025/Res_Networking-Content-Delivery/Res_Amazon-Route-53_Resolver_48.png
Networking & Content Delivery,,AWS Cloud WAN,Resource-Icons_02072025/Res_Networking-Content-Delivery/Res_AWS-Cloud-WAN_Core-Network-Edge_48.png
Networking & Content Delivery,,Amazon CloudFront,Resource-Icons_02072025/Res_Networking-Content-Delivery/Res_Amazon-CloudFront_Download-Distribution_48.svg
Networking & Content Delivery,,Amazon Route 53 Hosted Zone,Resource-Icons_02072025/Res_Networking-Content-Delivery/Res_Amazon-Route-53-Hosted-Zone_48.png
Networking & Content Delivery,,AWS Cloud Map,Resource-Icons_02072025/Res_Networking-Content-Delivery/Res_AWS-Cloud-Map_Namespace_48.svg
Networking & Content Delivery,,AWS Transit Gateway,Resource-Icons_02072025/Res_Networking-Content-Delivery/Res_AWS-Transit-Gateway_Attachment_48.svg
Networking & Content Delivery,,AWS Direct Connect,Resource-Icons_02072025/Res_Networking-Content-Delivery/Res_AWS-Direct-Connect_Gateway_48.svg
Networking & Content Delivery,,Amazon API Gateway,Resource-Icons_02072025/Res_Networking-Content-Delivery/Res_Amazon-API-Gateway_Endpoint_48.svg
Storage,,Amazon Simple Storage Service,Resource-Icons_02072025/Res_Storage/Res_Amazon-Simple-Storage-Service_S3-Replication_48.svg
Storage,,AWS Backup,Resource-Icons_02072025/Res_Storage/Res_AWS-Backup_Legal-Hold_48.svg
Storage,,AWS Storage Gateway,Resource-Icons_02072025/Res_Storage/Res_AWS-Storage-Gateway_Noncached-Volume_48.svg
Storage,,Amazon Elastic File System,Resource-Icons_02072025/Res_Storage/Res_Amazon-Elastic-File-System_EFS-Standard_48.svg
Storage,,Amazon File Cache,Resource-Icons_02072025/Res_Storage/Res_Amazon-File-Cache_On-premises-NFS-linked-datasets_48.svg
Storage,,Amazon Elastic Block Store,Resource-Icons_02072025/Res_Storage/Res_Amazon-Elastic-Block-Store_Amazon-Data-Lifecycle-Manager_48.png
Storage,,AWS Snowball,Resource-Icons_02072025/Res_Storage/Res_AWS-Snowball_Snowball-Import-Export_48.svg
Storage,,Amazon Simple Storage Service Glacier,Resource-Icons_02072025/Res_Storage/Res_Amazon-Simple-Storage-Service-Glacier_Vault_48.png
Artificial Intelligence,,Amazon SageMaker,Resource-Icons_02072025/Res_Artificial-Intelligence/Res_Amazon-SageMaker_Shadow-Testing_48.png
Artificial Intelligence,,Amazon Textract,Resource-Icons_02072025/Res_Artificial-Intelligence/Res_Amazon-Textract_Analyze-Lending_48.png
Artificial Intelligence,,Amazon Rekognition,Resource-Icons_02072025/Res_Artificial-Intelligence/Res_Amazon-Rekognition_Video_48.svg
Artificial Intelligence,,Amazon DevOps Guru,Resource-Icons_02072025/Res_Artificial-Intelligence/Res_Amazon-DevOps-Guru_Insights_48.svg
Containers,,Amazon Elastic Container Service,Resource-Icons_02072025/Res_Containers/Res_Amazon-Elastic-Container-Service_Service_48.png
Containers,,Amazon Elastic Kubernetes Service,Resource-Icons_02072025/Res_Containers/Res_Amazon-Elastic-Kubernetes-Service_EKS-on-Outposts_48.svg
