icon_type,file_path,file_name,stem,dir,candidate_name,canonical_service_name,coarse_class,service_code_mapped,matched
service,Architecture-Service-Icons_02072025/Arch_General-Icons/64/Arch_AWS-Marketplace_Dark_64.svg,Arch_AWS-Marketplace_Dark_64.svg,Arch_AWS-Marketplace_Dark_64,64,Arch AWS Marketplace Dark,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/64/Arch_AWS-Marketplace_Light_64.svg,Arch_AWS-Marketplace_Light_64.svg,Arch_AWS-Marketplace_Light_64,64,Arch AWS Marketplace Light,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/16/Arch_AWS-Marketplace_Dark_16.svg,Arch_AWS-Marketplace_Dark_16.svg,Arch_AWS-Marketplace_Dark_16,16,Arch AWS Marketplace Dark,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/16/Arch_AWS-Marketplace_Light_16.svg,Arch_AWS-Marketplace_Light_16.svg,Arch_AWS-Marketplace_Light_16,16,Arch AWS Marketplace Light,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/32/Arch_AWS-Marketplace_Dark_32.svg,Arch_AWS-Marketplace_Dark_32.svg,Arch_AWS-Marketplace_Dark_32,32,Arch AWS Marketplace Dark,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/32/Arch_AWS-Marketplace_Light_32.svg,Arch_AWS-Marketplace_Light_32.svg,Arch_AWS-Marketplace_Light_32,32,Arch AWS Marketplace Light,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/48/Arch_AWS-Marketplace_Light_48.svg,Arch_AWS-Marketplace_Light_48.svg,Arch_AWS-Marketplace_Light_48,48,Arch AWS Marketplace Light,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/48/Arch_AWS-Marketplace_Dark_48.svg,Arch_AWS-Marketplace_Dark_48.svg,Arch_AWS-Marketplace_Dark_48,48,Arch AWS Marketplace Dark,,,,False
service,Architecture-Service-Icons_02072025/Arch_Quantum-Technologies/64/Arch_Amazon-Braket_64.svg,Arch_Amazon-Braket_64.svg,Arch_Amazon-Braket_64,64,Arch Amazon Braket,amazon braket,Quantum,braket,True
service,Architecture-Service-Icons_02072025/Arch_Quantum-Technologies/16/Arch_Amazon-Braket_16.svg,Arch_Amazon-Braket_16.svg,Arch_Amazon-Braket_16,16,Arch Amazon Braket,amazon braket,Quantum,braket,True
service,Architecture-Service-Icons_02072025/Arch_Quantum-Technologies/32/Arch_Amazon-Braket_32.svg,Arch_Amazon-Braket_32.svg,Arch_Amazon-Braket_32,32,Arch Amazon Braket,amazon braket,Quantum,braket,True
service,Architecture-Service-Icons_02072025/Arch_Quantum-Technologies/48/Arch_Amazon-Braket_48.svg,Arch_Amazon-Braket_48.svg,Arch_Amazon-Braket_48,48,Arch Amazon Braket,amazon braket,Quantum,braket,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Control-Tower_64.svg,Arch_AWS-Control-Tower_64.svg,Arch_AWS-Control-Tower_64,64,Arch AWS Control Tower,aws control tower,Management & Governance,controltower,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Service-Management-Connector_64.svg,Arch_AWS-Service-Management-Connector_64.svg,Arch_AWS-Service-Management-Connector_64,64,Arch AWS Service Management Connector,amazon connect,Business Applications,connect,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Organizations_64.svg,Arch_AWS-Organizations_64.svg,Arch_AWS-Organizations_64,64,Arch AWS Organizations,aws organizations,Management & Governance,organizations,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Console-Mobile-Application_64.svg,Arch_AWS-Console-Mobile-Application_64.svg,Arch_AWS-Console-Mobile-Application_64,64,Arch AWS Console Mobile Application,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Resilience-Hub_64.svg,Arch_AWS-Resilience-Hub_64.svg,Arch_AWS-Resilience-Hub_64,64,Arch AWS Resilience Hub,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-CloudFormation_64.svg,Arch_AWS-CloudFormation_64.svg,Arch_AWS-CloudFormation_64,64,Arch AWS CloudFormation,aws cloudformation,DevOps & Developer Tools,cloudformation,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Service-Catalog_64.svg,Arch_AWS-Service-Catalog_64.svg,Arch_AWS-Service-Catalog_64,64,Arch AWS Service Catalog,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Proton_64.svg,Arch_AWS-Proton_64.svg,Arch_AWS-Proton_64,64,Arch AWS Proton,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Health-Dashboard_64.svg,Arch_AWS-Health-Dashboard_64.svg,Arch_AWS-Health-Dashboard_64,64,Arch AWS Health Dashboard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Management-Console_64.svg,Arch_AWS-Management-Console_64.svg,Arch_AWS-Management-Console_64,64,Arch AWS Management Console,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-CloudTrail_64.svg,Arch_AWS-CloudTrail_64.svg,Arch_AWS-CloudTrail_64,64,Arch AWS CloudTrail,aws cloudtrail,Monitoring & Logging,cloudtrail,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Launch-Wizard_64.svg,Arch_AWS-Launch-Wizard_64.svg,Arch_AWS-Launch-Wizard_64,64,Arch AWS Launch Wizard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Distro-for-OpenTelemetry_64.svg,Arch_AWS-Distro-for-OpenTelemetry_64.svg,Arch_AWS-Distro-for-OpenTelemetry_64,64,Arch AWS Distro for OpenTelemetry,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Resource-Explorer_64.svg,Arch_AWS-Resource-Explorer_64.svg,Arch_AWS-Resource-Explorer_64,64,Arch AWS Resource Explorer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Compute-Optimizer_64.svg,Arch_AWS-Compute-Optimizer_64.svg,Arch_AWS-Compute-Optimizer_64,64,Arch AWS Compute Optimizer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Telco-Network-Builder_64.svg,Arch_AWS-Telco-Network-Builder_64.svg,Arch_AWS-Telco-Network-Builder_64,64,Arch AWS Telco Network Builder,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-User-Notifications_64.svg,Arch_AWS-User-Notifications_64.svg,Arch_AWS-User-Notifications_64,64,Arch AWS User Notifications,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Config_64.svg,Arch_AWS-Config_64.svg,Arch_AWS-Config_64,64,Arch AWS Config,aws config,Management & Governance,config,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-License-Manager_64.svg,Arch_AWS-License-Manager_64.svg,Arch_AWS-License-Manager_64,64,Arch AWS License Manager,aws license manager,Management & Governance,license-manager,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Auto-Scaling_64.svg,Arch_AWS-Auto-Scaling_64.svg,Arch_AWS-Auto-Scaling_64,64,Arch AWS Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Backint-Agent_64.svg,Arch_AWS-Backint-Agent_64.svg,Arch_AWS-Backint-Agent_64,64,Arch AWS Backint Agent,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Well-Architected-Tool_64.svg,Arch_AWS-Well-Architected-Tool_64.svg,Arch_AWS-Well-Architected-Tool_64,64,Arch AWS Well Architected Tool,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Trusted-Advisor_64.svg,Arch_AWS-Trusted-Advisor_64.svg,Arch_AWS-Trusted-Advisor_64,64,Arch AWS Trusted Advisor,aws trusted advisor,Management & Governance,trustedadvisor,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_Amazon-CloudWatch_64.svg,Arch_Amazon-CloudWatch_64.svg,Arch_Amazon-CloudWatch_64,64,Arch Amazon CloudWatch,amazon cloudwatch,Monitoring & Logging,cloudwatch,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-AppConfig_64.svg,Arch_AWS-AppConfig_64.svg,Arch_AWS-AppConfig_64,64,Arch AWS AppConfig,aws config,Management & Governance,config,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Application-Auto-Scaling_64.svg,Arch_AWS-Application-Auto-Scaling_64.svg,Arch_AWS-Application-Auto-Scaling_64,64,Arch AWS Application Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_Amazon-Managed-Grafana_64.svg,Arch_Amazon-Managed-Grafana_64.svg,Arch_Amazon-Managed-Grafana_64,64,Arch Amazon Managed Grafana,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_Amazon-Managed-Service-for-Prometheus_64.svg,Arch_Amazon-Managed-Service-for-Prometheus_64.svg,Arch_Amazon-Managed-Service-for-Prometheus_64,64,Arch Amazon Managed Service for Prometheus,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Chatbot_64.svg,Arch_AWS-Chatbot_64.svg,Arch_AWS-Chatbot_64,64,Arch AWS Chatbot,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Systems-Manager_64.svg,Arch_AWS-Systems-Manager_64.svg,Arch_AWS-Systems-Manager_64,64,Arch AWS Systems Manager,aws systems manager,Management & Governance,ssm,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Health-Dashboard_16.svg,Arch_AWS-Health-Dashboard_16.svg,Arch_AWS-Health-Dashboard_16,16,Arch AWS Health Dashboard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Proton_16.svg,Arch_AWS-Proton_16.svg,Arch_AWS-Proton_16,16,Arch AWS Proton,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Resilience-Hub_16.svg,Arch_AWS-Resilience-Hub_16.svg,Arch_AWS-Resilience-Hub_16,16,Arch AWS Resilience Hub,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Console-Mobile-Application_16.svg,Arch_AWS-Console-Mobile-Application_16.svg,Arch_AWS-Console-Mobile-Application_16,16,Arch AWS Console Mobile Application,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-AppConfig_16.svg,Arch_AWS-AppConfig_16.svg,Arch_AWS-AppConfig_16,16,Arch AWS AppConfig,aws config,Management & Governance,config,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Application-Auto-Scaling_16.svg,Arch_AWS-Application-Auto-Scaling_16.svg,Arch_AWS-Application-Auto-Scaling_16,16,Arch AWS Application Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Service-Management-Connector_16.svg,Arch_AWS-Service-Management-Connector_16.svg,Arch_AWS-Service-Management-Connector_16,16,Arch AWS Service Management Connector,amazon connect,Business Applications,connect,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Distro-for-OpenTelemetry_16.svg,Arch_AWS-Distro-for-OpenTelemetry_16.svg,Arch_AWS-Distro-for-OpenTelemetry_16,16,Arch AWS Distro for OpenTelemetry,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Well-Architected-Tool_16.svg,Arch_AWS-Well-Architected-Tool_16.svg,Arch_AWS-Well-Architected-Tool_16,16,Arch AWS Well Architected Tool,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Auto-Scaling_16.svg,Arch_AWS-Auto-Scaling_16.svg,Arch_AWS-Auto-Scaling_16,16,Arch AWS Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Config_16.svg,Arch_AWS-Config_16.svg,Arch_AWS-Config_16,16,Arch AWS Config,aws config,Management & Governance,config,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-License-Manager_16.svg,Arch_AWS-License-Manager_16.svg,Arch_AWS-License-Manager_16,16,Arch AWS License Manager,aws license manager,Management & Governance,license-manager,True
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-User-Notifications_16.svg,Arch_AWS-User-Notifications_16.svg,Arch_AWS-User-Notifications_16,16,Arch AWS User Notifications,,,,False
