icon_type,file_path,file_name,stem,dir_name,candidate_name,canonical_service_name,coarse_class,service_code_mapped,matched
service,Architecture-Service-Icons_02072025/Arch_General-Icons/64/Arch_AWS-Marketplace_Dark_64.svg,Arch_AWS-Marketplace_Dark_64.svg,Arch_AWS-Marketplace_Dark_64,64,Arch AWS Marketplace Dark,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/64/Arch_AWS-Marketplace_Light_64.svg,Arch_AWS-Marketplace_Light_64.svg,Arch_AWS-Marketplace_Light_64,64,Arch AWS Marketplace Light,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/16/Arch_AWS-Marketplace_Dark_16.svg,Arch_AWS-Marketplace_Dark_16.svg,Arch_AWS-Marketplace_Dark_16,16,Arch AWS Marketplace Dark,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/16/Arch_AWS-Marketplace_Light_16.svg,Arch_AWS-Marketplace_Light_16.svg,Arch_AWS-Marketplace_Light_16,16,Arch AWS Marketplace Light,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/32/Arch_AWS-Marketplace_Dark_32.svg,Arch_AWS-Marketplace_Dark_32.svg,Arch_AWS-Marketplace_Dark_32,32,Arch AWS Marketplace Dark,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/32/Arch_AWS-Marketplace_Light_32.svg,Arch_AWS-Marketplace_Light_32.svg,Arch_AWS-Marketplace_Light_32,32,Arch AWS Marketplace Light,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/48/Arch_AWS-Marketplace_Light_48.svg,Arch_AWS-Marketplace_Light_48.svg,Arch_AWS-Marketplace_Light_48,48,Arch AWS Marketplace Light,,,,False
service,Architecture-Service-Icons_02072025/Arch_General-Icons/48/Arch_AWS-Marketplace_Dark_48.svg,Arch_AWS-Marketplace_Dark_48.svg,Arch_AWS-Marketplace_Dark_48,48,Arch AWS Marketplace Dark,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Console-Mobile-Application_64.svg,Arch_AWS-Console-Mobile-Application_64.svg,Arch_AWS-Console-Mobile-Application_64,64,Arch AWS Console Mobile Application,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Resilience-Hub_64.svg,Arch_AWS-Resilience-Hub_64.svg,Arch_AWS-Resilience-Hub_64,64,Arch AWS Resilience Hub,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Service-Catalog_64.svg,Arch_AWS-Service-Catalog_64.svg,Arch_AWS-Service-Catalog_64,64,Arch AWS Service Catalog,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Proton_64.svg,Arch_AWS-Proton_64.svg,Arch_AWS-Proton_64,64,Arch AWS Proton,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Health-Dashboard_64.svg,Arch_AWS-Health-Dashboard_64.svg,Arch_AWS-Health-Dashboard_64,64,Arch AWS Health Dashboard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Management-Console_64.svg,Arch_AWS-Management-Console_64.svg,Arch_AWS-Management-Console_64,64,Arch AWS Management Console,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Launch-Wizard_64.svg,Arch_AWS-Launch-Wizard_64.svg,Arch_AWS-Launch-Wizard_64,64,Arch AWS Launch Wizard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Distro-for-OpenTelemetry_64.svg,Arch_AWS-Distro-for-OpenTelemetry_64.svg,Arch_AWS-Distro-for-OpenTelemetry_64,64,Arch AWS Distro for OpenTelemetry,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Resource-Explorer_64.svg,Arch_AWS-Resource-Explorer_64.svg,Arch_AWS-Resource-Explorer_64,64,Arch AWS Resource Explorer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Compute-Optimizer_64.svg,Arch_AWS-Compute-Optimizer_64.svg,Arch_AWS-Compute-Optimizer_64,64,Arch AWS Compute Optimizer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Telco-Network-Builder_64.svg,Arch_AWS-Telco-Network-Builder_64.svg,Arch_AWS-Telco-Network-Builder_64,64,Arch AWS Telco Network Builder,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-User-Notifications_64.svg,Arch_AWS-User-Notifications_64.svg,Arch_AWS-User-Notifications_64,64,Arch AWS User Notifications,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Auto-Scaling_64.svg,Arch_AWS-Auto-Scaling_64.svg,Arch_AWS-Auto-Scaling_64,64,Arch AWS Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Backint-Agent_64.svg,Arch_AWS-Backint-Agent_64.svg,Arch_AWS-Backint-Agent_64,64,Arch AWS Backint Agent,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Well-Architected-Tool_64.svg,Arch_AWS-Well-Architected-Tool_64.svg,Arch_AWS-Well-Architected-Tool_64,64,Arch AWS Well Architected Tool,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Application-Auto-Scaling_64.svg,Arch_AWS-Application-Auto-Scaling_64.svg,Arch_AWS-Application-Auto-Scaling_64,64,Arch AWS Application Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_Amazon-Managed-Grafana_64.svg,Arch_Amazon-Managed-Grafana_64.svg,Arch_Amazon-Managed-Grafana_64,64,Arch Amazon Managed Grafana,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_Amazon-Managed-Service-for-Prometheus_64.svg,Arch_Amazon-Managed-Service-for-Prometheus_64.svg,Arch_Amazon-Managed-Service-for-Prometheus_64,64,Arch Amazon Managed Service for Prometheus,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Chatbot_64.svg,Arch_AWS-Chatbot_64.svg,Arch_AWS-Chatbot_64,64,Arch AWS Chatbot,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Health-Dashboard_16.svg,Arch_AWS-Health-Dashboard_16.svg,Arch_AWS-Health-Dashboard_16,16,Arch AWS Health Dashboard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Proton_16.svg,Arch_AWS-Proton_16.svg,Arch_AWS-Proton_16,16,Arch AWS Proton,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Resilience-Hub_16.svg,Arch_AWS-Resilience-Hub_16.svg,Arch_AWS-Resilience-Hub_16,16,Arch AWS Resilience Hub,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Console-Mobile-Application_16.svg,Arch_AWS-Console-Mobile-Application_16.svg,Arch_AWS-Console-Mobile-Application_16,16,Arch AWS Console Mobile Application,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Application-Auto-Scaling_16.svg,Arch_AWS-Application-Auto-Scaling_16.svg,Arch_AWS-Application-Auto-Scaling_16,16,Arch AWS Application Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Distro-for-OpenTelemetry_16.svg,Arch_AWS-Distro-for-OpenTelemetry_16.svg,Arch_AWS-Distro-for-OpenTelemetry_16,16,Arch AWS Distro for OpenTelemetry,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Well-Architected-Tool_16.svg,Arch_AWS-Well-Architected-Tool_16.svg,Arch_AWS-Well-Architected-Tool_16,16,Arch AWS Well Architected Tool,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Auto-Scaling_16.svg,Arch_AWS-Auto-Scaling_16.svg,Arch_AWS-Auto-Scaling_16,16,Arch AWS Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-User-Notifications_16.svg,Arch_AWS-User-Notifications_16.svg,Arch_AWS-User-Notifications_16,16,Arch AWS User Notifications,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Chatbot_16.svg,Arch_AWS-Chatbot_16.svg,Arch_AWS-Chatbot_16,16,Arch AWS Chatbot,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_Amazon-Managed-Service-for-Prometheus_16.svg,Arch_Amazon-Managed-Service-for-Prometheus_16.svg,Arch_Amazon-Managed-Service-for-Prometheus_16,16,Arch Amazon Managed Service for Prometheus,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Resource-Explorer_16.svg,Arch_AWS-Resource-Explorer_16.svg,Arch_AWS-Resource-Explorer_16,16,Arch AWS Resource Explorer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Telco-Network-Builder_16.svg,Arch_AWS-Telco-Network-Builder_16.svg,Arch_AWS-Telco-Network-Builder_16,16,Arch AWS Telco Network Builder,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Backint-Agent_16.svg,Arch_AWS-Backint-Agent_16.svg,Arch_AWS-Backint-Agent_16,16,Arch AWS Backint Agent,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Launch-Wizard_16.svg,Arch_AWS-Launch-Wizard_16.svg,Arch_AWS-Launch-Wizard_16,16,Arch AWS Launch Wizard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_Amazon-Managed-Grafana_16.svg,Arch_Amazon-Managed-Grafana_16.svg,Arch_Amazon-Managed-Grafana_16,16,Arch Amazon Managed Grafana,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Management-Console_16.svg,Arch_AWS-Management-Console_16.svg,Arch_AWS-Management-Console_16,16,Arch AWS Management Console,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Service-Catalog_16.svg,Arch_AWS-Service-Catalog_16.svg,Arch_AWS-Service-Catalog_16,16,Arch AWS Service Catalog,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Compute-Optimizer_16.svg,Arch_AWS-Compute-Optimizer_16.svg,Arch_AWS-Compute-Optimizer_16,16,Arch AWS Compute Optimizer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Service-Catalog_32.svg,Arch_AWS-Service-Catalog_32.svg,Arch_AWS-Service-Catalog_32,32,Arch AWS Service Catalog,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Application-Auto-Scaling_32.svg,Arch_AWS-Application-Auto-Scaling_32.svg,Arch_AWS-Application-Auto-Scaling_32,32,Arch AWS Application Auto Scaling,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Launch-Wizard_32.svg,Arch_AWS-Launch-Wizard_32.svg,Arch_AWS-Launch-Wizard_32,32,Arch AWS Launch Wizard,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Resilience-Hub_32.svg,Arch_AWS-Resilience-Hub_32.svg,Arch_AWS-Resilience-Hub_32,32,Arch AWS Resilience Hub,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Proton_32.svg,Arch_AWS-Proton_32.svg,Arch_AWS-Proton_32,32,Arch AWS Proton,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Resource-Explorer_32.svg,Arch_AWS-Resource-Explorer_32.svg,Arch_AWS-Resource-Explorer_32,32,Arch AWS Resource Explorer,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Console-Mobile-Application_32.svg,Arch_AWS-Console-Mobile-Application_32.svg,Arch_AWS-Console-Mobile-Application_32,32,Arch AWS Console Mobile Application,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_Amazon-Managed-Grafana_32.svg,Arch_Amazon-Managed-Grafana_32.svg,Arch_Amazon-Managed-Grafana_32,32,Arch Amazon Managed Grafana,,,,False
service,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Well-Architected-Tool_32.svg,Arch_AWS-Well-Architected-Tool_32.svg,Arch_AWS-Well-Architected-Tool_32,32,Arch AWS Well Architected Tool,,,,False
