file_path,coarse_class
Architecture-Service-Icons_02072025/Arch_Quantum-Technologies/64/Arch_Amazon-Braket_64.svg,Quantum
Architecture-Service-Icons_02072025/Arch_Quantum-Technologies/16/Arch_Amazon-Braket_16.svg,Quantum
Architecture-Service-Icons_02072025/Arch_Quantum-Technologies/32/Arch_Amazon-Braket_32.svg,Quantum
Architecture-Service-Icons_02072025/Arch_Quantum-Technologies/48/Arch_Amazon-Braket_48.svg,Quantum
Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Control-Tower_64.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Service-Management-Connector_64.svg,Business Applications
Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Organizations_64.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-CloudFormation_64.svg,DevOps & Developer Tools
Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-CloudTrail_64.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Config_64.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-License-Manager_64.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Trusted-Advisor_64.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_Amazon-CloudWatch_64.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-AppConfig_64.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Systems-Manager_64.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-AppConfig_16.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Service-Management-Connector_16.svg,Business Applications
Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Config_16.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-License-Manager_16.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Control-Tower_16.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-CloudFormation_16.svg,DevOps & Developer Tools
Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Trusted-Advisor_16.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Organizations_16.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_Amazon-CloudWatch_16.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-CloudTrail_16.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Systems-Manager_16.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_Amazon-CloudWatch_32.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Systems-Manager_32.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Organizations_32.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-CloudFormation_32.svg,DevOps & Developer Tools
Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-AppConfig_32.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Config_32.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Control-Tower_32.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-CloudTrail_32.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Trusted-Advisor_32.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-License-Manager_32.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Service-Management-Connector_32.svg,Business Applications
Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Service-Management-Connector_48.svg,Business Applications
Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-AppConfig_48.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-CloudTrail_48.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Systems-Manager_48.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-License-Manager_48.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-CloudFormation_48.svg,DevOps & Developer Tools
Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Organizations_48.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Trusted-Advisor_48.svg,Management & Governance
Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_Amazon-CloudWatch_48.svg,Monitoring & Logging
Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Control-Tower_48.svg,Management & Governance
