"group","service","service_url"
"Analytics","AWS Glue","https://aws.amazon.com/glue/?did=ap_card&trk=ap_card"
"Analytics","Amazon Athena","https://aws.amazon.com/athena/?did=ap_card&trk=ap_card"
"Analytics","Amazon FinSpace","https://aws.amazon.com/finspace/?did=ap_card&trk=ap_card"
"Analytics","AWS Lake Formation","https://aws.amazon.com/lake-formation/?did=ap_card&trk=ap_card"
"Analytics","Amazon EMR","https://aws.amazon.com/emr/?did=ap_card&trk=ap_card"
"Analytics","Amazon CloudSearch","https://aws.amazon.com/cloudsearch/?did=ap_card&trk=ap_card"
"Analytics","Amazon Kinesis","https://aws.amazon.com/kinesis/?did=ap_card&trk=ap_card"
"Analytics","AWS Data Exchange","https://aws.amazon.com/data-exchange/?did=ap_card&trk=ap_card"
"Analytics","Amazon QuickSight","https://aws.amazon.com/quicksight/?did=ap_card&trk=ap_card"
"Analytics","Amazon Managed Streaming for Apache Kafka (MSK)","https://aws.amazon.com/msk/?did=ap_card&trk=ap_card"
"Analytics","Amazon OpenSearch Service","https://aws.amazon.com/opensearch-service/?did=ap_card&trk=ap_card"
"Analytics","AWS Clean Rooms","https://aws.amazon.com/clean-rooms/?did=ap_card&trk=ap_card"
"Analytics","AWS Data Pipeline","https://aws.amazon.com/datapipeline/?did=ap_card&trk=ap_card"
"Analytics","Amazon DataZone","https://aws.amazon.com/datazone/?did=ap_card&trk=ap_card"
"Application Integration","Amazon Managed Workflows for Apache Airflow (MWAA)","https://aws.amazon.com/managed-workflows-for-apache-airflow/?did=ap_card&trk=ap_card"
"Application Integration","Amazon Simple Notification Service (SNS)","https://aws.amazon.com/sns/?did=ap_card&trk=ap_card"
"Application Integration","Amazon AppFlow","https://aws.amazon.com/appflow/?did=ap_card&trk=ap_card"
"Application Integration","Amazon Simple Queue Service (SQS)","https://aws.amazon.com/sqs/?did=ap_card&trk=ap_card"
"Application Integration","AWS Step Functions","https://aws.amazon.com/step-functions/?did=ap_card&trk=ap_card"
"Application Integration","Amazon MQ","https://aws.amazon.com/amazon-mq/?did=ap_card&trk=ap_card"
"Application Integration","B2B Data Interchange","https://aws.amazon.com/b2b-data-interchange/?did=ap_card&trk=ap_card&nc2=hp"
"Application Integration","Amazon EventBridge","https://aws.amazon.com/eventbridge/?did=ap_card&trk=ap_card"
"Architecture Strategy","AWS Well-Architected Tool","https://aws.amazon.com/well-architected-tool/?did=ap_card&trk=ap_card"
"Blockchain","Amazon Quantum Ledger Database (QLDB)","https://aws.amazon.com/qldb/?did=ap_card&trk=ap_card"
"Blockchain","Amazon Managed Blockchain","https://aws.amazon.com/managed-blockchain/?did=ap_card&trk=ap_card"
"Business Applications","AWS Supply Chain","https://aws.amazon.com/aws-supply-chain/?did=ap_card&trk=ap_card"
"Business Applications","Amazon WorkMail","https://aws.amazon.com/workmail/?did=ap_card&trk=ap_card"
"Business Applications","Amazon Dash Cart","https://aws.amazon.com/dash-cart/?did=ap_card&trk=ap_card"
"Business Applications","AWS End User Messaging","https://aws.amazon.com/end-user-messaging/pricing/?did=ap_card&trk=ap_card"
"Business Applications","Amazon WorkDocs","https://aws.amazon.com/workdocs/?did=ap_card&trk=ap_card"
"Business Applications","Alexa for Business","https://aws.amazon.com/alexaforbusiness/?did=ap_card&trk=ap_card"
"Business Applications","Amazon Connect","https://aws.amazon.com/connect/?did=ap_card&trk=ap_card"
"Business Applications","Amazon Chime SDK","https://aws.amazon.com/chime/chime-sdk/?did=ap_card&trk=ap_card"
"Business Applications","Amazon Chime","https://aws.amazon.com/chime/?did=ap_card&trk=ap_card"
"Business Applications","Amazon Honeycode","https://aws.amazon.com/honeycode/?did=ap_card&trk=ap_card"
"Business Applications","AWS AppFabric","https://aws.amazon.com/appfabric/"
"Business Applications","AWS Wickr","https://aws.amazon.com/wickr/?did=ap_card&trk=ap_card"
"Cloud Financial Management","Savings Plans","https://aws.amazon.com/savingsplans/?did=ap_card&trk=ap_card"
"Cloud Financial Management","Reserved Instance (RI) Reporting","https://aws.amazon.com/aws-cost-management/reserved-instance-reporting/?did=ap_card&trk=ap_card"
