service_code,service_full_name,endpoint_prefix,api_version,protocols,uid,regions,region_count,is_global_like,has_resource_interface
accessanalyzer,Access Analyzer,access-analyzer,2019-11-01,rest-json,accessanalyzer-2019-11-01,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
account,AWS Account,account,2021-02-01,rest-json,account-2021-02-01,,0,True,False
acm,AWS Certificate Manager,acm,2015-12-08,json,acm-2015-12-08,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
acm-pca,AWS Certificate Manager Private Certificate Authority,acm-pca,2017-08-22,json,acm-pca-2017-08-22,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
aiops,AWS AI Ops,aiops,2018-05-10,rest-json,aiops-2018-05-10,,0,True,False
amp,Amazon Prometheus Service,aps,2020-08-01,rest-json,amp-2020-08-01,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-5;ap-southeast-7;ca-central-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;me-central-1;sa-east-1;us-east-1;us-east-2;us-west-2,22,False,False
amplify,AWS Amplify,amplify,2017-07-25,rest-json,amplify-2017-07-25,ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,20,False,False
amplifybackend,AmplifyBackend,amplifybackend,2020-08-11,rest-json,amplifybackend-2020-08-11,ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,19,False,False
amplifyuibuilder,AWS Amplify UI Builder,amplifyuibuilder,2021-08-11,rest-json,amplifyuibuilder-2021-08-11,ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,19,False,False
apigateway,Amazon API Gateway,apigateway,2015-07-09,rest-json,apigateway-2015-07-09,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
apigatewaymanagementapi,AmazonApiGatewayManagementApi,execute-api,2018-11-29,rest-json,apigatewaymanagementapi-2018-11-29,,0,True,False
apigatewayv2,AmazonApiGatewayV2,apigateway,2018-11-29,rest-json,apigatewayv2-2018-11-29,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
appconfig,Amazon AppConfig,appconfig,2019-10-09,rest-json,appconfig-2019-10-09,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
appconfigdata,AWS AppConfig Data,appconfigdata,2021-11-11,rest-json,appconfigdata-2021-11-11,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
appfabric,AppFabric,appfabric,2023-05-19,rest-json,appfabric-2023-05-19,,0,True,False
appflow,Amazon Appflow,appflow,2020-08-23,rest-json,appflow-2020-08-23,af-south-1;ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-1;eu-west-2;eu-west-3;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,16,False,False
appintegrations,Amazon AppIntegrations Service,app-integrations,2020-07-29,rest-json,appintegrations-2020-07-29,af-south-1;ap-northeast-1;ap-northeast-2;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-2;us-east-1;us-west-2,10,False,False
application-autoscaling,Application Auto Scaling,application-autoscaling,2016-02-06,json,application-autoscaling-2016-02-06,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
application-insights,Amazon CloudWatch Application Insights,applicationinsights,2018-11-25,json,application-insights-2018-11-25,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,29,False,False
application-signals,Amazon CloudWatch Application Signals,application-signals,2024-04-15,rest-json,application-signals-2024-04-15,,0,True,False
applicationcostprofiler,AWS Application Cost Profiler,application-cost-profiler,2020-09-10,rest-json,AWSApplicationCostProfiler-2020-09-10,,0,True,False
appmesh,AWS App Mesh,appmesh,2019-01-25,rest-json,appmesh-2019-01-25,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-3;ca-central-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,25,False,False
apprunner,AWS App Runner,apprunner,2020-05-15,json,apprunner-2020-05-15,ap-northeast-1;ap-south-1;ap-southeast-1;ap-southeast-2;eu-central-1;eu-west-1;eu-west-2;eu-west-3;us-east-1;us-east-2;us-west-2,11,False,False
appstream,Amazon AppStream,appstream2,2016-12-01,json,appstream-2016-12-01,ap-northeast-1;ap-northeast-2;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-1;eu-west-2;eu-west-3;sa-east-1;us-east-1;us-east-2;us-west-2,14,False,False
appsync,AWS AppSync,appsync,2017-07-25,rest-json,appsync-2017-07-25,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,31,False,False
apptest,AWS Mainframe Modernization Application Testing,apptest,2022-12-06,rest-json,apptest-2022-12-06,ap-southeast-2;eu-central-1;sa-east-1;us-east-1,4,False,False
arc-region-switch,ARC - Region switch,arc-region-switch,2022-07-26,"json,smithy-rpc-v2-cbor",arc-region-switch-2022-07-26,,0,True,False
arc-zonal-shift,AWS ARC - Zonal Shift,arc-zonal-shift,2022-10-30,rest-json,arc-zonal-shift-2022-10-30,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
artifact,AWS Artifact,artifact,2018-05-10,rest-json,artifact-2018-05-10,,0,True,False
athena,Amazon Athena,athena,2017-05-18,json,athena-2017-05-18,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
auditmanager,AWS Audit Manager,auditmanager,2017-07-25,rest-json,auditmanager-2017-07-25,ap-northeast-1;ap-south-1;ap-southeast-1;ap-southeast-2;ca-central-1;eu-central-1;eu-west-1;eu-west-2;us-east-1;us-east-2;us-west-1;us-west-2,12,False,False
autoscaling,Auto Scaling,autoscaling,2011-01-01,query,autoscaling-2011-01-01,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
autoscaling-plans,AWS Auto Scaling Plans,autoscaling-plans,2018-01-06,json,autoscaling-plans-2018-01-06,af-south-1;ap-east-1;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-southeast-1;ap-southeast-2;ap-southeast-3;ca-central-1;eu-central-1;eu-north-1;eu-south-1;eu-west-1;eu-west-2;eu-west-3;me-south-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,22,False,False
b2bi,AWS B2B Data Interchange,b2bi,2022-06-23,json,b2bi-2022-06-23,,0,True,False
backup,AWS Backup,backup,2018-11-15,rest-json,backup-2018-11-15,af-south-1;ap-east-1;ap-east-2;ap-northeast-1;ap-northeast-2;ap-northeast-3;ap-south-1;ap-south-2;ap-southeast-1;ap-southeast-2;ap-southeast-3;ap-southeast-4;ap-southeast-5;ap-southeast-7;ca-central-1;ca-west-1;eu-central-1;eu-central-2;eu-north-1;eu-south-1;eu-south-2;eu-west-1;eu-west-2;eu-west-3;il-central-1;me-central-1;me-south-1;mx-central-1;sa-east-1;us-east-1;us-east-2;us-west-1;us-west-2,33,False,False
