canonical_service_name,original_service_name,service_code,group,category,type,source,file_path,zip_path,confidence,normalization_method,regions,main_resource_example,secondary_examples
IoT_LoRaWAN Protocol_48.svg,AWS IoT_LoRaWAN Protocol_48.svg,iot_lorawanprotocol_48.svg,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_LoRaWAN-Protocol_48.svg,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_LoRaWAN-Protocol_48.svg,1.0,icon_mapping,,,
s_IoT_LoRaWAN Protocol_48.svg,s_AWS IoT_LoRaWAN Protocol_48.svg,s_iot_lorawanprotocol_48.svg,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_LoRaWAN-Protocol_48.svg,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_LoRaWAN-Protocol_48.svg,1.0,icon_mapping,,,
IoT Greengrass_Component_48.svg,AWS IoT Greengrass_Component_48.svg,iotgreengrass_component_48.svg,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Greengrass_Component_48.svg,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Greengrass_Component_48.svg,1.0,icon_mapping,,,
s_IoT Greengrass_Component_48.svg,s_AWS IoT Greengrass_Component_48.svg,s_iotgreengrass_component_48.svg,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT-Greengrass_Component_48.svg,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT-Greengrass_Component_48.svg,1.0,icon_mapping,,,
IoT_Thing_Coffee Pot_48.svg,AWS IoT_Thing_Coffee Pot_48.svg,iot_thing_coffeepot_48.svg,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Thing_Coffee-Pot_48.svg,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Thing_Coffee-Pot_48.svg,1.0,icon_mapping,,,
s_IoT_Thing_Coffee Pot_48.svg,s_AWS IoT_Thing_Coffee Pot_48.svg,s_iot_thing_coffeepot_48.svg,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Thing_Coffee-Pot_48.svg,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Thing_Coffee-Pot_48.svg,1.0,icon_mapping,,,
IoT_Thing_Travel_48.png,AWS IoT_Thing_Travel_48.png,iot_thing_travel_48.png,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Thing_Travel_48.png,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Thing_Travel_48.png,1.0,icon_mapping,,,
s_IoT_Thing_Travel_48.png,s_AWS IoT_Thing_Travel_48.png,s_iot_thing_travel_48.png,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Thing_Travel_48.png,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Thing_Travel_48.png,1.0,icon_mapping,,,
IoT Greengrass_Artifact_48.png,AWS IoT Greengrass_Artifact_48.png,iotgreengrass_artifact_48.png,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Greengrass_Artifact_48.png,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Greengrass_Artifact_48.png,1.0,icon_mapping,,,
s_IoT Greengrass_Artifact_48.png,s_AWS IoT Greengrass_Artifact_48.png,s_iotgreengrass_artifact_48.png,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT-Greengrass_Artifact_48.png,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT-Greengrass_Artifact_48.png,1.0,icon_mapping,,,
IoT_Lambda_Function_48.svg,AWS IoT_Lambda_Function_48.svg,lambda,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Lambda_Function_48.svg,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Lambda_Function_48.svg,1.0,icon_mapping,,,
s_IoT_Lambda_Function_48.svg,s_AWS IoT_Lambda_Function_48.svg,lambda,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Lambda_Function_48.svg,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Lambda_Function_48.svg,1.0,icon_mapping,,,
IoT_Thing_Windfarm_48.svg,AWS IoT_Thing_Windfarm_48.svg,iot_thing_windfarm_48.svg,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Thing_Windfarm_48.svg,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Thing_Windfarm_48.svg,1.0,icon_mapping,,,
s_IoT_Thing_Windfarm_48.svg,s_AWS IoT_Thing_Windfarm_48.svg,s_iot_thing_windfarm_48.svg,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Thing_Windfarm_48.svg,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Thing_Windfarm_48.svg,1.0,icon_mapping,,,
IoT_Thing_Vibration Sensor_48.svg,AWS IoT_Thing_Vibration Sensor_48.svg,iot_thing_vibrationsensor_48.svg,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Thing_Vibration-Sensor_48.svg,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Thing_Vibration-Sensor_48.svg,1.0,icon_mapping,,,
s_IoT_Thing_Vibration Sensor_48.svg,s_AWS IoT_Thing_Vibration Sensor_48.svg,s_iot_thing_vibrationsensor_48.svg,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Thing_Vibration-Sensor_48.svg,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Thing_Vibration-Sensor_48.svg,1.0,icon_mapping,,,
IoT Device Defender_IoT Device Jobs_48.svg,AWS IoT Device Defender_IoT Device Jobs_48.svg,iotdevicedefender_iotdevicejobs_48.svg,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Device-Defender_IoT-Device-Jobs_48.svg,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Device-Defender_IoT-Device-Jobs_48.svg,1.0,icon_mapping,,,
s_IoT Device Defender_IoT Device Jobs_48.svg,s_AWS IoT Device Defender_IoT Device Jobs_48.svg,s_iotdevicedefender_iotdevicejobs_48.svg,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT-Device-Defender_IoT-Device-Jobs_48.svg,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT-Device-Defender_IoT-Device-Jobs_48.svg,1.0,icon_mapping,,,
IoT Device Management_Fleet Hub_48.svg,AWS IoT Device Management_Fleet Hub_48.svg,iotdevicemanagement_fleethub_48.svg,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Device-Management_Fleet-Hub_48.svg,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-Device-Management_Fleet-Hub_48.svg,1.0,icon_mapping,,,
s_IoT Device Management_Fleet Hub_48.svg,s_AWS IoT Device Management_Fleet Hub_48.svg,s_iotdevicemanagement_fleethub_48.svg,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT-Device-Management_Fleet-Hub_48.svg,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT-Device-Management_Fleet-Hub_48.svg,1.0,icon_mapping,,,
IoT SiteWise_Asset Hierarchy_48.png,AWS IoT SiteWise_Asset Hierarchy_48.png,iotsitewise_assethierarchy_48.png,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-SiteWise_Asset-Hierarchy_48.png,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT-SiteWise_Asset-Hierarchy_48.png,1.0,icon_mapping,,,
s_IoT SiteWise_Asset Hierarchy_48.png,s_AWS IoT SiteWise_Asset Hierarchy_48.png,s_iotsitewise_assethierarchy_48.png,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT-SiteWise_Asset-Hierarchy_48.png,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT-SiteWise_Asset-Hierarchy_48.png,1.0,icon_mapping,,,
IoT_Sensor_48.png,AWS IoT_Sensor_48.png,iot_sensor_48.png,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Sensor_48.png,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Sensor_48.png,1.0,icon_mapping,,,
s_IoT_Sensor_48.png,s_AWS IoT_Sensor_48.png,s_iot_sensor_48.png,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Sensor_48.png,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Sensor_48.png,1.0,icon_mapping,,,
IoT_Topic_48.svg,AWS IoT_Topic_48.svg,iot_topic_48.svg,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Topic_48.svg,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Topic_48.svg,1.0,icon_mapping,,,
s_IoT_Topic_48.svg,s_AWS IoT_Topic_48.svg,s_iot_topic_48.svg,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Topic_48.svg,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Topic_48.svg,1.0,icon_mapping,,,
IoT_Thing_Bank_48.png,AWS IoT_Thing_Bank_48.png,iot_thing_bank_48.png,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Thing_Bank_48.png,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Thing_Bank_48.png,1.0,icon_mapping,,,
s_IoT_Thing_Bank_48.png,s_AWS IoT_Thing_Bank_48.png,s_iot_thing_bank_48.png,IoT,,icon,icon_mapping,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Thing_Bank_48.png,__MACOSX/Resource-Icons_02072025/Res_IoT/._Res_AWS-IoT_Thing_Bank_48.png,1.0,icon_mapping,,,
IoT_Over Air Update_48.png,AWS IoT_Over Air Update_48.png,iot_overairupdate_48.png,IoT,,icon,icon_mapping,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Over-Air-Update_48.png,Resource-Icons_02072025/Res_IoT/Res_AWS-IoT_Over-Air-Update_48.png,1.0,icon_mapping,,,
