file_path,coarse_class,original_path
coarse/Quantum/Arch_Amazon-Braket_64.png,Quantum,Architecture-Service-Icons_02072025/Arch_Quantum-Technologies/64/Arch_Amazon-Braket_64.svg
coarse/Quantum/Arch_Amazon-Braket_16.png,Quantum,Architecture-Service-Icons_02072025/Arch_Quantum-Technologies/16/Arch_Amazon-Braket_16.svg
coarse/Quantum/Arch_Amazon-Braket_32.png,Quantum,Architecture-Service-Icons_02072025/Arch_Quantum-Technologies/32/Arch_Amazon-Braket_32.svg
coarse/Quantum/Arch_Amazon-Braket_48.png,Quantum,Architecture-Service-Icons_02072025/Arch_Quantum-Technologies/48/Arch_Amazon-Braket_48.svg
coarse/Management & Governance/Arch_AWS-Control-Tower_64.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Control-Tower_64.svg
coarse/Business Applications/Arch_AWS-Service-Management-Connector_64.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Service-Management-Connector_64.svg
coarse/Management & Governance/Arch_AWS-Organizations_64.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Organizations_64.svg
coarse/DevOps & Developer Tools/Arch_AWS-CloudFormation_64.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-CloudFormation_64.svg
coarse/Monitoring & Logging/Arch_AWS-CloudTrail_64.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-CloudTrail_64.svg
coarse/Monitoring & Logging/Arch_AWS-Config_64.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Config_64.svg
coarse/Management & Governance/Arch_AWS-License-Manager_64.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-License-Manager_64.svg
coarse/Management & Governance/Arch_AWS-Trusted-Advisor_64.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Trusted-Advisor_64.svg
coarse/Monitoring & Logging/Arch_Amazon-CloudWatch_64.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_Amazon-CloudWatch_64.svg
coarse/Monitoring & Logging/Arch_AWS-AppConfig_64.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-AppConfig_64.svg
coarse/Management & Governance/Arch_AWS-Systems-Manager_64.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/64/Arch_AWS-Systems-Manager_64.svg
coarse/Monitoring & Logging/Arch_AWS-AppConfig_16.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-AppConfig_16.svg
coarse/Business Applications/Arch_AWS-Service-Management-Connector_16.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Service-Management-Connector_16.svg
coarse/Monitoring & Logging/Arch_AWS-Config_16.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Config_16.svg
coarse/Management & Governance/Arch_AWS-License-Manager_16.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-License-Manager_16.svg
coarse/Management & Governance/Arch_AWS-Control-Tower_16.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Control-Tower_16.svg
coarse/DevOps & Developer Tools/Arch_AWS-CloudFormation_16.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-CloudFormation_16.svg
coarse/Management & Governance/Arch_AWS-Trusted-Advisor_16.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Trusted-Advisor_16.svg
coarse/Management & Governance/Arch_AWS-Organizations_16.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Organizations_16.svg
coarse/Monitoring & Logging/Arch_Amazon-CloudWatch_16.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_Amazon-CloudWatch_16.svg
coarse/Monitoring & Logging/Arch_AWS-CloudTrail_16.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-CloudTrail_16.svg
coarse/Management & Governance/Arch_AWS-Systems-Manager_16.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/16/Arch_AWS-Systems-Manager_16.svg
coarse/Monitoring & Logging/Arch_Amazon-CloudWatch_32.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_Amazon-CloudWatch_32.svg
coarse/Management & Governance/Arch_AWS-Systems-Manager_32.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Systems-Manager_32.svg
coarse/Management & Governance/Arch_AWS-Organizations_32.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Organizations_32.svg
coarse/DevOps & Developer Tools/Arch_AWS-CloudFormation_32.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-CloudFormation_32.svg
coarse/Monitoring & Logging/Arch_AWS-AppConfig_32.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-AppConfig_32.svg
coarse/Monitoring & Logging/Arch_AWS-Config_32.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Config_32.svg
coarse/Management & Governance/Arch_AWS-Control-Tower_32.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Control-Tower_32.svg
coarse/Monitoring & Logging/Arch_AWS-CloudTrail_32.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-CloudTrail_32.svg
coarse/Management & Governance/Arch_AWS-Trusted-Advisor_32.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Trusted-Advisor_32.svg
coarse/Management & Governance/Arch_AWS-License-Manager_32.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-License-Manager_32.svg
coarse/Business Applications/Arch_AWS-Service-Management-Connector_32.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Management-Governance/32/Arch_AWS-Service-Management-Connector_32.svg
coarse/Business Applications/Arch_AWS-Service-Management-Connector_48.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Service-Management-Connector_48.svg
coarse/Monitoring & Logging/Arch_AWS-AppConfig_48.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-AppConfig_48.svg
coarse/Monitoring & Logging/Arch_AWS-CloudTrail_48.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-CloudTrail_48.svg
coarse/Management & Governance/Arch_AWS-Systems-Manager_48.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Systems-Manager_48.svg
coarse/Management & Governance/Arch_AWS-License-Manager_48.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-License-Manager_48.svg
coarse/DevOps & Developer Tools/Arch_AWS-CloudFormation_48.png,DevOps & Developer Tools,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-CloudFormation_48.svg
coarse/Management & Governance/Arch_AWS-Organizations_48.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Organizations_48.svg
coarse/Management & Governance/Arch_AWS-Trusted-Advisor_48.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Trusted-Advisor_48.svg
coarse/Monitoring & Logging/Arch_Amazon-CloudWatch_48.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_Amazon-CloudWatch_48.svg
coarse/Management & Governance/Arch_AWS-Control-Tower_48.png,Management & Governance,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Control-Tower_48.svg
coarse/Monitoring & Logging/Arch_AWS-Config_48.png,Monitoring & Logging,Architecture-Service-Icons_02072025/Arch_Management-Governance/48/Arch_AWS-Config_48.svg
coarse/Robotics / AR-VR/Arch_AWS-RoboMaker_64.png,Robotics / AR-VR,Architecture-Service-Icons_02072025/Arch_Robotics/64/Arch_AWS-RoboMaker_64.svg
coarse/Robotics / AR-VR/Arch_AWS-RoboMaker_16.png,Robotics / AR-VR,Architecture-Service-Icons_02072025/Arch_Robotics/16/Arch_AWS-RoboMaker_16.svg
coarse/Robotics / AR-VR/Arch_AWS-RoboMaker_32.png,Robotics / AR-VR,Architecture-Service-Icons_02072025/Arch_Robotics/32/Arch_AWS-RoboMaker_32.svg
coarse/Robotics / AR-VR/Arch_AWS-RoboMaker_48.png,Robotics / AR-VR,Architecture-Service-Icons_02072025/Arch_Robotics/48/Arch_AWS-RoboMaker_48.svg
coarse/Business Applications/Arch_Amazon-WorkDocs-SDK_64.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_Amazon-WorkDocs-SDK_64.svg
coarse/Business Applications/Arch_Amazon-Chime-SDK_64.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_Amazon-Chime-SDK_64.svg
coarse/Business Applications/Arch_Amazon-WorkMail_64.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_Amazon-WorkMail_64.svg
coarse/Business Applications/Arch_Amazon-Chime_64.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_Amazon-Chime_64.svg
coarse/Business Applications/Arch_Amazon-Connect_64.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_Amazon-Connect_64.svg
coarse/Business Applications/Arch_Amazon-WorkDocs_64.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/64/Arch_Amazon-WorkDocs_64.svg
coarse/Business Applications/Arch_Amazon-Chime_16.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_Amazon-Chime_16.svg
coarse/Business Applications/Arch_Amazon-Connect_16.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_Amazon-Connect_16.svg
coarse/Business Applications/Arch_Amazon-WorkDocs-SDK_16.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_Amazon-WorkDocs-SDK_16.svg
coarse/Business Applications/Arch_Amazon-Chime-SDK_16.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_Amazon-Chime-SDK_16.svg
coarse/Business Applications/Arch_Amazon-WorkDocs_16.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_Amazon-WorkDocs_16.svg
coarse/Business Applications/Arch_Amazon-WorkMail_16.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/16/Arch_Amazon-WorkMail_16.svg
coarse/Business Applications/Arch_Amazon-WorkMail_32.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_Amazon-WorkMail_32.svg
coarse/Business Applications/Arch_Amazon-Connect_32.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_Amazon-Connect_32.svg
coarse/Business Applications/Arch_Amazon-WorkDocs_32.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_Amazon-WorkDocs_32.svg
coarse/Business Applications/Arch_Amazon-WorkDocs-SDK_32.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_Amazon-WorkDocs-SDK_32.svg
coarse/Business Applications/Arch_Amazon-Chime_32.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_Amazon-Chime_32.svg
coarse/Business Applications/Arch_Amazon-Chime-SDK_32.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/32/Arch_Amazon-Chime-SDK_32.svg
coarse/Business Applications/Arch_Amazon-Chime-SDK_48.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_Amazon-Chime-SDK_48.svg
coarse/Business Applications/Arch_Amazon-Connect_48.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_Amazon-Connect_48.svg
coarse/Business Applications/Arch_Amazon-WorkMail_48.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_Amazon-WorkMail_48.svg
coarse/Business Applications/Arch_Amazon-WorkDocs-SDK_48.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_Amazon-WorkDocs-SDK_48.svg
coarse/Business Applications/Arch_Amazon-Chime_48.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_Amazon-Chime_48.svg
coarse/Business Applications/Arch_Amazon-WorkDocs_48.png,Business Applications,Architecture-Service-Icons_02072025/Arch_Business-Applications/48/Arch_Amazon-WorkDocs_48.svg
coarse/Serverless & Event-driven/Arch_AWS-Step-Functions_64.png,Serverless & Event-driven,Architecture-Service-Icons_02072025/Arch_App-Integration/64/Arch_AWS-Step-Functions_64.svg
coarse/Application Integration/Arch_Amazon-MQ_64.png,Application Integration,Architecture-Service-Icons_02072025/Arch_App-Integration/64/Arch_Amazon-MQ_64.svg
coarse/Application Integration/Arch_AWS-AppSync_64.png,Application Integration,Architecture-Service-Icons_02072025/Arch_App-Integration/64/Arch_AWS-AppSync_64.svg
coarse/Serverless & Event-driven/Arch_Amazon-EventBridge_64.png,Serverless & Event-driven,Architecture-Service-Icons_02072025/Arch_App-Integration/64/Arch_Amazon-EventBridge_64.svg
coarse/Application Integration/Arch_Amazon-MQ_16.png,Application Integration,Architecture-Service-Icons_02072025/Arch_App-Integration/16/Arch_Amazon-MQ_16.svg
coarse/Serverless & Event-driven/Arch_Amazon-EventBridge_16.png,Serverless & Event-driven,Architecture-Service-Icons_02072025/Arch_App-Integration/16/Arch_Amazon-EventBridge_16.svg
coarse/Application Integration/Arch_AWS-AppSync_16.png,Application Integration,Architecture-Service-Icons_02072025/Arch_App-Integration/16/Arch_AWS-AppSync_16.svg
coarse/Serverless & Event-driven/Arch_AWS-Step-Functions_16.png,Serverless & Event-driven,Architecture-Service-Icons_02072025/Arch_App-Integration/16/Arch_AWS-Step-Functions_16.svg
coarse/Application Integration/Arch_AWS-AppSync_32.png,Application Integration,Architecture-Service-Icons_02072025/Arch_App-Integration/32/Arch_AWS-AppSync_32.svg
coarse/Application Integration/Arch_Amazon-MQ_32.png,Application Integration,Architecture-Service-Icons_02072025/Arch_App-Integration/32/Arch_Amazon-MQ_32.svg
coarse/Serverless & Event-driven/Arch_Amazon-EventBridge_32.png,Serverless & Event-driven,Architecture-Service-Icons_02072025/Arch_App-Integration/32/Arch_Amazon-EventBridge_32.svg
coarse/Serverless & Event-driven/Arch_AWS-Step-Functions_32.png,Serverless & Event-driven,Architecture-Service-Icons_02072025/Arch_App-Integration/32/Arch_AWS-Step-Functions_32.svg
coarse/Application Integration/Arch_AWS-AppSync_48.png,Application Integration,Architecture-Service-Icons_02072025/Arch_App-Integration/48/Arch_AWS-AppSync_48.svg
coarse/Serverless & Event-driven/Arch_AWS-Step-Functions_48.png,Serverless & Event-driven,Architecture-Service-Icons_02072025/Arch_App-Integration/48/Arch_AWS-Step-Functions_48.svg
coarse/Serverless & Event-driven/Arch_Amazon-EventBridge_48.png,Serverless & Event-driven,Architecture-Service-Icons_02072025/Arch_App-Integration/48/Arch_Amazon-EventBridge_48.svg
coarse/Application Integration/Arch_Amazon-MQ_48.png,Application Integration,Architecture-Service-Icons_02072025/Arch_App-Integration/48/Arch_Amazon-MQ_48.svg
