number,value,datetime_start,datetime_complete,duration,params_lr0,params_lrf,params_momentum,params_optimizer,params_patience,params_weight_decay,state
0,0.7744631669826305,2025-12-10 04:08:43.864618,2025-12-10 04:11:37.049023,0 days 00:02:53.184405,0.0001653632892843455,0.042410861387553775,0.9524417566785066,AdamW,20,0.00024177502732309586,COMPLETE
1,0.7687884810662099,2025-12-10 04:11:37.056428,2025-12-10 04:16:00.082501,0 days 00:04:23.026073,0.00014003444152875435,0.011977569087494491,0.9787366641380937,SGD,25,0.000854669531439934,COMPLETE
2,0.7898978750746269,2025-12-10 04:16:00.088223,2025-12-10 04:19:05.236034,0 days 00:03:05.147811,0.003236038896743346,0.09938936734931479,0.9032942182683085,AdamW,25,0.0008423223846120686,COMPLETE
3,0.7878013285579467,2025-12-10 04:19:05.241574,2025-12-10 04:20:33.167737,0 days 00:01:27.926163,0.0009465932271746646,0.09569358228910556,0.9219520369659433,AdamW,20,0.00031724325159776957,COMPLETE
4,0.7988298214605557,2025-12-10 04:20:33.173463,2025-12-10 04:25:23.817666,0 days 00:04:50.644203,0.005279585813297091,0.018163074045225852,0.9679919082869735,AdamW,25,0.00021969976691859307,COMPLETE
5,0.6477648589994811,2025-12-10 04:25:23.823333,2025-12-10 04:30:54.103426,0 days 00:05:30.280093,0.00014098889350162635,0.046646684976463154,0.9109015412018514,SGD,30,0.0005562404389026633,COMPLETE
6,0.7882047793696074,2025-12-10 04:30:54.108918,2025-12-10 04:36:18.454938,0 days 00:05:24.346020,0.0005697335633597408,0.04576602686358877,0.9169142685542172,SGD,20,0.0001838085285022788,COMPLETE
7,0.7816857637554308,2025-12-10 04:36:18.461502,2025-12-10 04:38:39.734290,0 days 00:02:21.272788,0.00021117127488082797,0.0232737615096679,0.926434780344604,AdamW,20,0.0009936258616384114,COMPLETE
8,0.6349597131468662,2025-12-10 04:38:39.739765,2025-12-10 04:44:09.689232,0 days 00:05:29.949467,0.00010752181058128077,0.028845559060390547,0.9294152704825762,SGD,45,0.0005198711989445897,COMPLETE
9,0.7896804547126641,2025-12-10 04:44:09.694772,2025-12-10 04:45:54.893925,0 days 00:01:45.199153,0.0005370594280870029,0.05573814759508547,0.9424707992087437,AdamW,20,0.00045234422083595204,COMPLETE
